127.0.0.1 - - [03/Jul/2018:11:50:10 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/index.html HTTP/1.1" 200 22581
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 200 64608
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 200 37413
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/g4.jpg HTTP/1.1" 200 36604
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/g8.jpg HTTP/1.1" 200 27771
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/js/jquery.flexslider.js HTTP/1.1" 200 39763
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/g5.jpg HTTP/1.1" 200 21337
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/g11.jpg HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 200 28163
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 200 38163
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/c3.jpg HTTP/1.1" 200 29671
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 200 537760
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:12 +0530] "GET /toursandtravelsmanagement/images/c4.jpg HTTP/1.1" 200 42906
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:37 +0530] "GET /toursandtravelsmanagement/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:37 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/2.jpg HTTP/1.1" 200 188660
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/dott.png HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/3.jpg HTTP/1.1" 200 303274
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/arrow.png HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/arrr1.png HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:50:38 +0530] "GET /toursandtravelsmanagement/images/arrr2.png HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/index.html HTTP/1.1" 200 22581
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 200 64608
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 200 37413
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/images/g8.jpg HTTP/1.1" 200 27771
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:02 +0530] "GET /toursandtravelsmanagement/images/g4.jpg HTTP/1.1" 200 36604
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:03 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:03 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:03 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:03 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:03 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:04 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:04 +0530] "GET /toursandtravelsmanagement/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:04 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:04 +0530] "GET /toursandtravelsmanagement/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:04 +0530] "GET /toursandtravelsmanagement/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/g5.jpg HTTP/1.1" 200 21337
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/g11.jpg HTTP/1.1" 200 27024
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 200 28163
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 200 38163
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/c3.jpg HTTP/1.1" 200 29671
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/c4.jpg HTTP/1.1" 200 42906
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 200 537760
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/js/jquery.flexslider.js HTTP/1.1" 200 39763
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/3.jpg HTTP/1.1" 200 303274
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/2.jpg HTTP/1.1" 200 188660
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:05 +0530] "GET /toursandtravelsmanagement/images/dott.png HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:14 +0530] "GET /toursandtravelsmanagement/images/arrow.png HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:14 +0530] "GET /toursandtravelsmanagement/images/arrr1.png HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:14 +0530] "GET /toursandtravelsmanagement/images/arrr2.png HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:56:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/about.html HTTP/1.1" 200 16414
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/images/g1.jpg HTTP/1.1" 200 27064
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:05 +0530] "GET /toursandtravelsmanagement/images/g4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/t1.jpg HTTP/1.1" 200 17595
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/t3.jpg HTTP/1.1" 200 31544
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/t4.jpg HTTP/1.1" 200 22744
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/t2.jpg HTTP/1.1" 200 20915
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:06 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:37 +0530] "GET /toursandtravelsmanagement/booking.html HTTP/1.1" 200 29432
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:58:37 +0530] "GET /toursandtravelsmanagement/js/jquery-ui.js HTTP/1.1" 200 450163
