127.0.0.1 - - [05/Jul/2018:11:08:09 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:14 +0530] "GET /toursandtravelsmanagement/index.jsp HTTP/1.1" 200 22782
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:14 +0530] "GET /toursandtravelsmanagement/about.jsp HTTP/1.1" 200 16679
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:15 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/images/g4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/images/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:16 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/images/t2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/images/t3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/images/t4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2018:11:08:17 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 304 -
