127.0.0.1 - - [25/Jul/2018:11:50:11 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:14 +0530] "GET /toursandtravelsmanagement/index.jsp HTTP/1.1" 200 22143
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:17 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:17 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:17 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:17 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:26 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:26 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:26 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:26 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:27 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:27 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:27 +0530] "GET /toursandtravelsmanagement/images/dott.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:27 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/images/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:28 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:29 +0530] "GET /toursandtravelsmanagement/images/arrr2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:29 +0530] "GET /toursandtravelsmanagement/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:29 +0530] "GET /toursandtravelsmanagement/images/arrr1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:47 +0530] "GET /toursandtravelsmanagement/package.jsp HTTP/1.1" 200 15428
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:48 +0530] "GET /toursandtravelsmanagement/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:48 +0530] "GET /toursandtravelsmanagement/js/simpleLightbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:48 +0530] "GET /toursandtravelsmanagement/css/bookingstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:48 +0530] "GET /toursandtravelsmanagement/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:50:48 +0530] "GET /toursandtravelsmanagement/images/g3.jpg HTTP/1.1" 304 -
