127.0.0.1 - - [08/Jul/2018:12:04:06 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:09 +0530] "GET /toursandtravelsmanagement/css/simpleLightbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:09 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:09 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:09 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/simpleLightbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2018:12:04:12 +0530] "GET /toursandtravelsmanagement/images/g12.jpg HTTP/1.1" 304 -
